Seed,Subject,Accuracy,Kappa
42,1,0.5347222222222222,0.06944444444444442
42,2,0.5208333333333334,0.04166666666666663
42,3,0.4583333333333333,-0.08333333333333326
42,4,0.5208333333333334,0.04166666666666663
42,5,0.5763888888888888,0.1527777777777778
42,6,0.4166666666666667,-0.16666666666666674
42,7,0.4930555555555556,-0.01388888888888884
42,8,0.5,0.0
42,9,0.5277777777777778,0.05555555555555558
123,1,0.5138888888888888,0.02777777777777779
123,2,0.5208333333333334,0.04166666666666663
123,3,0.5069444444444444,0.01388888888888884
123,4,0.5,0.0
123,5,0.5,0.0
123,6,0.4791666666666667,-0.04166666666666674
123,7,0.5347222222222222,0.06944444444444442
123,8,0.4444444444444444,-0.11111111111111116
123,9,0.4444444444444444,-0.11111111111111116
456,1,0.5347222222222222,0.06944444444444442
456,2,0.5277777777777778,0.05555555555555558
456,3,0.5347222222222222,0.06944444444444442
456,4,0.5763888888888888,0.1527777777777778
456,5,0.5,0.0
456,6,0.5,0.0
456,7,0.4791666666666667,-0.04166666666666674
456,8,0.5208333333333334,0.04166666666666663
456,9,0.5,0.0
